,Δt (s),Cumulative Δt (s),Left Wheel Velocities (m/s),Right Wheel Velocities (m/s),Δ𝑠 (m),Cumulative Δ𝑠 (m),Left ΔS (m),Cumulative Left ΔS (m),Right ΔS (m),Cumulative Right ΔS (m),ΔX (m),ΔY (m),X Coordinates (m),Y Coordinates (m),ΔΘ (radians),ΔΘ Cumulative Sum (radians)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.5,0.2,0.2,0.005,0.005,0.1,0.1,0.1,0.1,0.005,0.0,0.005,0.0,0.0,0.0
2,0.5,1.0,0.2,0.2,0.005,0.01,0.1,0.2,0.1,0.2,0.005,0.0,0.01,0.0,0.0,0.0
3,0.5,1.5,0.25,0.2,0.006,0.016,0.125,0.325,0.1,0.3,0.006,-0.0,0.016,-0.0,-0.025,-0.025
4,0.5,2.0,0.25,0.2,0.006,0.022,0.125,0.45,0.1,0.4,0.006,-0.0,0.022,-0.0,-0.025,-0.05
5,0.5,2.5,0.3,0.25,0.009,0.032,0.15,0.6,0.125,0.525,0.009,-0.001,0.032,-0.001,-0.025,-0.075
6,0.5,3.0,0.3,0.25,0.009,0.041,0.15,0.75,0.125,0.65,0.009,-0.001,0.041,-0.002,-0.025,-0.1
7,0.5,3.5,0.35,0.35,0.015,0.057,0.175,0.925,0.175,0.825,0.015,-0.002,0.056,-0.004,0.0,-0.1
8,0.5,4.0,0.35,0.35,0.015,0.072,0.175,1.1,0.175,1.0,0.015,-0.002,0.072,-0.005,0.0,-0.1
9,0.5,4.5,0.5,0.5,0.031,0.103,0.25,1.35,0.25,1.25,0.031,-0.003,0.103,-0.008,0.0,-0.1
10,0.5,5.0,0.5,0.5,0.031,0.134,0.25,1.6,0.25,1.5,0.031,-0.003,0.134,-0.011,0.0,-0.1
11,0.5,5.5,0.5,0.5,0.031,0.166,0.25,1.85,0.25,1.75,0.031,-0.003,0.165,-0.015,0.0,-0.1
12,0.5,6.0,0.5,0.5,0.031,0.197,0.25,2.1,0.25,2.0,0.031,-0.003,0.196,-0.018,0.0,-0.1
13,0.5,6.5,0.35,0.45,0.02,0.217,0.175,2.275,0.225,2.225,0.02,-0.001,0.216,-0.019,0.05,-0.05
14,0.5,7.0,0.35,0.45,0.02,0.236,0.175,2.45,0.225,2.45,0.02,-0.0,0.235,-0.019,0.05,-0.0
15,0.5,7.5,0.3,0.35,0.013,0.249,0.15,2.6,0.175,2.625,0.013,0.0,0.248,-0.018,0.025,0.025
16,0.5,8.0,0.3,0.35,0.013,0.263,0.15,2.75,0.175,2.8,0.013,0.001,0.262,-0.018,0.025,0.05
17,0.5,8.5,0.2,0.25,0.006,0.269,0.1,2.85,0.125,2.925,0.006,0.0,0.268,-0.017,0.025,0.075
18,0.5,9.0,0.2,0.25,0.006,0.275,0.1,2.95,0.125,3.05,0.006,0.001,0.274,-0.017,0.025,0.1
19,0.5,9.5,0.2,0.2,0.005,0.28,0.1,3.05,0.1,3.15,0.005,0.0,0.279,-0.016,0.0,0.1
20,0.5,10.0,0.2,0.2,0.005,0.285,0.1,3.15,0.1,3.25,0.005,0.0,0.284,-0.016,0.0,0.1
