Cumulative Δt (s),Left Wheel Velocities (m/s),Right Wheel Velocities (m/s),Left ΔS (m),Right ΔS (m),"Position (x,y,Θ)",X Coordinates (m),Y Coordinates (m),ΔΘ Cumulative Sum (radians),ΔΘ (radians),Δt (s),Δ𝑠 (m),Cumulative Δ𝑠 (m),Cumulative Left ΔS (m),Cumulative Right ΔS (m),ΔX (m),ΔY (m)
0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.2,0.2,0.1,0.1,"(0.005, 0.0, 0.0)",0.005,0.0,0.0,0.0,0.5,0.005,0.005,0.1,0.1,0.005,0.0
1.0,0.2,0.2,0.1,0.1,"(0.01, 0.0, 0.0)",0.01,0.0,0.0,0.0,0.5,0.005,0.01,0.2,0.2,0.005,0.0
1.5,0.25,0.2,0.125,0.1,"(0.016, -0.0, -0.025)",0.016,-0.0,-0.025,-0.025,0.5,0.006,0.016,0.325,0.3,0.006,-0.0
2.0,0.25,0.2,0.125,0.1,"(0.022, -0.0, -0.05)",0.022,-0.0,-0.05,-0.025,0.5,0.006,0.022,0.45,0.4,0.006,-0.0
2.5,0.3,0.25,0.15,0.125,"(0.032, -0.001, -0.075)",0.032,-0.001,-0.075,-0.025,0.5,0.009,0.032,0.6,0.525,0.009,-0.001
3.0,0.3,0.25,0.15,0.125,"(0.041, -0.002, -0.1)",0.041,-0.002,-0.1,-0.025,0.5,0.009,0.041,0.75,0.65,0.009,-0.001
3.5,0.35,0.35,0.175,0.175,"(0.056, -0.004, -0.1)",0.056,-0.004,-0.1,0.0,0.5,0.015,0.057,0.925,0.825,0.015,-0.002
4.0,0.35,0.35,0.175,0.175,"(0.072, -0.005, -0.1)",0.072,-0.005,-0.1,0.0,0.5,0.015,0.072,1.1,1.0,0.015,-0.002
4.5,0.5,0.5,0.25,0.25,"(0.103, -0.008, -0.1)",0.103,-0.008,-0.1,0.0,0.5,0.031,0.103,1.35,1.25,0.031,-0.003
5.0,0.5,0.5,0.25,0.25,"(0.134, -0.011, -0.1)",0.134,-0.011,-0.1,0.0,0.5,0.031,0.134,1.6,1.5,0.031,-0.003
5.5,0.5,0.5,0.25,0.25,"(0.165, -0.015, -0.1)",0.165,-0.015,-0.1,0.0,0.5,0.031,0.166,1.85,1.75,0.031,-0.003
6.0,0.5,0.5,0.25,0.25,"(0.196, -0.018, -0.1)",0.196,-0.018,-0.1,0.0,0.5,0.031,0.197,2.1,2.0,0.031,-0.003
6.5,0.35,0.45,0.175,0.225,"(0.216, -0.019, -0.05)",0.216,-0.019,-0.05,0.05,0.5,0.02,0.217,2.275,2.225,0.02,-0.001
7.0,0.35,0.45,0.175,0.225,"(0.235, -0.019, -0.0)",0.235,-0.019,-0.0,0.05,0.5,0.02,0.236,2.45,2.45,0.02,-0.0
7.5,0.3,0.35,0.15,0.175,"(0.248, -0.018, 0.025)",0.248,-0.018,0.025,0.025,0.5,0.013,0.249,2.6,2.625,0.013,0.0
8.0,0.3,0.35,0.15,0.175,"(0.262, -0.018, 0.05)",0.262,-0.018,0.05,0.025,0.5,0.013,0.263,2.75,2.8,0.013,0.001
8.5,0.2,0.25,0.1,0.125,"(0.268, -0.017, 0.075)",0.268,-0.017,0.075,0.025,0.5,0.006,0.269,2.85,2.925,0.006,0.0
9.0,0.2,0.25,0.1,0.125,"(0.274, -0.017, 0.1)",0.274,-0.017,0.1,0.025,0.5,0.006,0.275,2.95,3.05,0.006,0.001
9.5,0.2,0.2,0.1,0.1,"(0.279, -0.016, 0.1)",0.279,-0.016,0.1,0.0,0.5,0.005,0.28,3.05,3.15,0.005,0.0
10.0,0.2,0.2,0.1,0.1,"(0.284, -0.016, 0.1)",0.284,-0.016,0.1,0.0,0.5,0.005,0.285,3.15,3.25,0.005,0.0
